Solicitudes
S;1000;1900;2;23486323;23/05/2023;1;1;CHILE 23;URUGUAY 121;T
S;4700;5340;2;57270608;24/05/2023;2;4;PARAGUAY 36;PANAMA 27;F
S;3500;3700;1;56760280;25/05/2023;3;9;HONDURAS 62; NICARAGUA 11;T
S;3700;9000;2;47219496;26/05/2023;4;16;CANADA 12;ESTADOS UNIDOS 23;F
S;9120;5000;1;51535389;27/05/2023;5;25;MEXICO 34;GUATEMALA 45;T
S;5152;3400;2;54461816;28/05/2023;6;36;CUBA 56; ECUADOR 67;F
S;3400;3450;1;43567133;29/05/2023;7;49;COLOMBIA 11; VENEZUELA 89;T
S;3100;3200;2;47819279;30/05/2023;8;64;EL SALVADOR 89; PERU 43;F
S;3600;3602;1;23456789;31/05/2023;9;81;ROCA 62; SAN MARTIN 53;T
S;4600;4500;2;12345678;1/06/2023;10;100;SARMIENTO 73; BRASIL 72;F
S;6300;6360;1;34567890;2/06/2023;10;100;SARMIENTO 21; BRASIL 72;T
S;5300;5500;2;78901234;3/06/2023;9;81;ROCA 62; SAN MARTIN 73;F
S;5501;3300;1;56789012;4/06/2023;8;64;EL SALVADOR 49; PERU 43;T
S;3360;8300;2;67890123;5/06/2023;7;49;COLOMBIA 11; VENEZUELA 29;F
S;8322;8332;1;45678901;6/06/2023;6;36;CUBA 16; ECUADOR 67;T
S;8324;4400;2;74747373;7/06/2023;5;25;MEXICO 31;GUATEMALA 45;F
S;4403;5400;1;48484383;8/06/2023;4;16;CANADA 12;ESTADOS UNIDOS 83;T
S;5413;5400;2;01234567;9/06/2023;3;9;HONDURAS 32; NICARAGUA 11;F
S;6300;1900;1;90123456;10/06/2023;2;4;PARAGUAY 36;PANAMA 57;T
S;5152;8332;1;56789012;11/06/2023;1;1;CHILE 23;URUGUAY 11;F

